"ham,	Can you review my report before I submit it?	"
"spam,	You have received a payment of $5000. Claim it now by clicking here.	"
"ham,	The team meeting has been moved to 3 PM.	"
"spam,	Get a loan approved within 24 hours without any credit check.	"
"ham,	Here are the notes from today's lecture.	"
"spam,	Your account will be suspended unless you verify your identity. Click here.	"
"ham,	Are you coming to the workshop this weekend?	"
"spam,	Win a brand new car! Enter the contest now by visiting this link.	"
"ham,	Thanks for the help with the assignment.	"
"spam,	Claim your free $100 Amazon gift card. Limited time offer.	"
"ham,	Do you want to join us for a study group session?	"
"spam,	You are eligible for a government grant of $10	000. Apply now."
"ham,	Please find the attached document for your review.	"
"spam,	Your subscription is about to expire. Renew now to avoid service interruption.	"
"ham,	Let's catch up after the seminar.	"
"spam,	Get rich quick with our new investment scheme. No risk involved.	"
"ham,	Can you send me the presentation slides from yesterday's class?	"
"spam,	You have been pre-approved for a credit card with no annual fee. Apply now.	"
"ham,	Looking forward to our meeting tomorrow.	"
"spam,	Unlock your potential with our weight loss program. Free trial available.	"
"ham,	Can you help me understand the homework assignment?	"
"spam,	You've been selected for a special offer on luxury watches. Don't miss out.	"
"ham,	Reminder: Submit your project by the end of this week.	"
"spam,	Get a free trial of our premium service. No credit card required.	"
"ham,	Do you want to collaborate on the research paper?	"
"spam,	You've won a free cruise to the Baham,as. Click here to claim your prize.	"
"ham,	Are you available for a call this afternoon?	"
"spam,	Your account has been flagged for suspicious activity. Verify now.	"
"ham,	Can you send me the details for the upcoming conference?	"
"spam,	Get 80% off on all items during our flash sale. Limited time only.	"
"ham,	Thanks for the feedback on my essay.	"
"spam,	You have a chance to win $1000 by completing this survey. Click here.	"
"ham,	Let's plan a study session for the finals.	"
"spam,	Receive a free iPad by signing up for our newsletter.	"
"ham,	Do you have the notes from last week's lecture?	"
"spam,	Last chance to save 90% on all our products. Don't miss out!	"
"ham,	Can we reschedule our meeting to tomorrow?	"
"spam,	Your account has been compromised. Update your information now.	"
"ham,	Are you free for lunch today?	"
"spam,	You are the lucky winner of a $500 shopping spree. Claim your prize now.	"
"ham,	Did you get the email with the project details?	"
"spam,	Limited time offer: Buy one	 get one free on all items. Visit our website."
"ham,	Can you help me with the math assignment?	"
"spam,	Important: Your account is at risk. Verify your identity immediately.	"
"ham,	Let's meet at the library to discuss the project.	"
"spam,	You've been selected for a free subscription to our service. Click here to sign up.	"
"ham,	Thanks for your help with the presentation.	"
"spam,	Win a $1000 gift card by completing our survey. Click here.	"
"ham,	Can you send me the file you mentioned in the meeting?	"
"spam,	Act now to get a 75% discount on all our products. Limited time only.	"
"ham,	Are you coming to the seminar tomorrow?	"
"spam,	Your payment is pending. Click here to complete the transaction.	"
"ham,	Let's have a study session at the coffee shop.	"
"spam,	You've been pre-approved for a personal loan. Apply now.	"
"ham,	Did you finish the reading assignment?	"
"spam,	Get a free trial of our weight loss program. No obligation.	"
"ham,	Can you send me the link to the research article?	"
"spam,	Your subscription is about to expire. Renew now to continue using our service.	"
"ham,	Are you available for a group project meeting?	"
